lat,lon,min_temp
-90.0,0.0,145.716
-90.0,2.5,145.716
-90.0,5.0,145.716
-90.0,7.5,145.716
-90.0,10.0,145.716
-90.0,12.5,145.716
-90.0,15.0,145.716
-90.0,17.5,145.716
-90.0,20.0,145.716
-90.0,22.5,145.716
-90.0,25.0,145.716
-90.0,27.5,145.716
-90.0,30.0,145.716
-90.0,32.5,145.716
-90.0,35.0,145.716
-90.0,37.5,145.716
-90.0,40.0,145.716
-90.0,42.5,145.716
-90.0,45.0,145.716
-90.0,47.5,145.716
-90.0,50.0,145.716
-90.0,52.5,145.716
-90.0,55.0,145.716
-90.0,57.5,145.716
-90.0,60.0,145.716
-90.0,62.5,145.716
-90.0,65.0,145.716
-90.0,67.5,145.716
-90.0,70.0,145.716
-90.0,72.5,145.716
-90.0,75.0,145.716
-90.0,77.5,145.716
-90.0,80.0,145.716
-90.0,82.5,145.716
-90.0,85.0,145.716
-90.0,87.5,145.716
-90.0,90.0,145.716
-90.0,92.5,145.716
-90.0,95.0,145.716
-90.0,97.5,145.716
-90.0,100.0,145.716
-90.0,102.5,145.716
-90.0,105.0,145.716
-90.0,107.5,145.716
-90.0,110.0,145.716
-90.0,112.5,145.716
-90.0,115.0,145.716
-90.0,117.5,145.716
-90.0,120.0,145.716
-90.0,122.5,145.716
-90.0,125.0,145.716
-90.0,127.5,145.716
-90.0,130.0,145.716
-90.0,132.5,145.716
-90.0,135.0,145.716
-90.0,137.5,145.716
-90.0,140.0,145.716
-90.0,142.5,145.716
-90.0,145.0,145.716
-90.0,147.5,145.716
-90.0,150.0,145.716
-90.0,152.5,145.716
-90.0,155.0,145.716
-90.0,157.5,145.716
-90.0,160.0,145.716
-90.0,162.5,145.716
-90.0,165.0,145.716
-90.0,167.5,145.716
-90.0,170.0,145.716
-90.0,172.5,145.716
-90.0,175.0,145.716
-90.0,177.5,145.716
-90.0,180.0,145.716
-90.0,182.5,145.716
-90.0,185.0,145.716
-90.0,187.5,145.716
-90.0,190.0,145.716
-90.0,192.5,145.716
-90.0,195.0,145.716
-90.0,197.5,145.716
-90.0,200.0,145.716
-90.0,202.5,145.716
-90.0,205.0,145.716
-90.0,207.5,145.716
-90.0,210.0,145.716
-90.0,212.5,145.716
-90.0,215.0,145.716
-90.0,217.5,145.716
-90.0,220.0,145.716
-90.0,222.5,145.716
-90.0,225.0,145.716
-90.0,227.5,145.716
-90.0,230.0,145.716
-90.0,232.5,145.716
-90.0,235.0,145.716
-90.0,237.5,145.716
-90.0,240.0,145.716
-90.0,242.5,145.716
-90.0,245.0,145.716
-90.0,247.5,145.716
-90.0,250.0,145.716
-90.0,252.5,145.716
-90.0,255.0,145.716
-90.0,257.5,145.716
-90.0,260.0,145.716
-90.0,262.5,145.716
-90.0,265.0,145.716
-90.0,267.5,145.716
-90.0,270.0,145.716
-90.0,272.5,145.716
-90.0,275.0,145.716
-90.0,277.5,145.716
-90.0,280.0,145.716
-90.0,282.5,145.716
-90.0,285.0,145.716
-90.0,287.5,145.716
-90.0,290.0,145.716
-90.0,292.5,145.716
-90.0,295.0,145.716
-90.0,297.5,145.716
-90.0,300.0,145.716
-90.0,302.5,145.716
-90.0,305.0,145.716
-90.0,307.5,145.716
-90.0,310.0,145.716
-90.0,312.5,145.716
-90.0,315.0,145.716
-90.0,317.5,145.716
-90.0,320.0,145.716
-90.0,322.5,145.716
-90.0,325.0,145.716
-90.0,327.5,145.716
-90.0,330.0,145.716
-90.0,332.5,145.716
-90.0,335.0,145.716
-90.0,337.5,145.716
-90.0,340.0,145.716
-90.0,342.5,145.716
-90.0,345.0,145.716
-90.0,347.5,145.716
-90.0,350.0,145.716
-90.0,352.5,145.716
-90.0,355.0,145.716
-90.0,357.5,145.716
-90.0,360.0,145.716
-85.0,0.0,145.787
-85.0,2.5,146.065
-85.0,5.0,146.338
-85.0,7.5,146.265
-85.0,10.0,146.077
-85.0,12.5,146.338
-85.0,15.0,147.049
-85.0,17.5,148.318
-85.0,20.0,151.261
-85.0,22.5,154.204
-85.0,25.0,159.065
-85.0,27.5,163.926
-85.0,30.0,166.288
-85.0,32.5,167.818
-85.0,35.0,170.927
-85.0,37.5,175.615
-85.0,40.0,179.352
-85.0,42.5,180.916
-85.0,45.0,182.481
-85.0,47.5,186.494
-85.0,50.0,190.507
-85.0,52.5,194.18
-85.0,55.0,197.739
-85.0,57.5,199.898
-85.0,60.0,200.655
-85.0,62.5,201.319
-85.0,65.0,201.446
-85.0,67.5,201.573
-85.0,70.0,202.501
-85.0,72.5,203.43
-85.0,75.0,204.577
-85.0,77.5,205.797
-85.0,80.0,206.555
-85.0,82.5,206.85
-85.0,85.0,207.522
-85.0,87.5,209.321
-85.0,90.0,211.011
-85.0,92.5,213.071
-85.0,95.0,215.131
-85.0,97.5,215.032
-85.0,100.0,214.212
-85.0,102.5,212.555
-85.0,105.0,210.061
-85.0,107.5,207.685
-85.0,110.0,205.663
-85.0,112.5,203.642
-85.0,115.0,203.063
-85.0,117.5,202.485
-85.0,120.0,202.977
-85.0,122.5,203.763
-85.0,125.0,204.698
-85.0,127.5,205.782
-85.0,130.0,207.087
-85.0,132.5,209.054
-85.0,135.0,211.021
-85.0,137.5,211.719
-85.0,140.0,212.417
-85.0,142.5,212.436
-85.0,145.0,212.227
-85.0,147.5,212.565
-85.0,150.0,213.33
-85.0,152.5,213.584
-85.0,155.0,212.568
-85.0,157.5,211.553
-85.0,160.0,211.827
-85.0,162.5,212.102
-85.0,165.0,211.605
-85.0,167.5,210.851
-85.0,170.0,210.456
-85.0,172.5,210.418
-85.0,175.0,210.638
-85.0,177.5,211.63
-85.0,180.0,212.623
-85.0,182.5,212.982
-85.0,185.0,213.334
-85.0,187.5,212.842
-85.0,190.0,212.069
-85.0,192.5,211.393
-85.0,195.0,210.815
-85.0,197.5,210.444
-85.0,200.0,210.697
-85.0,202.5,210.949
-85.0,205.0,210.633
-85.0,207.5,210.317
-85.0,210.0,209.904
-85.0,212.5,209.425
-85.0,215.0,209.064
-85.0,217.5,208.82
-85.0,220.0,208.598
-85.0,222.5,208.441
-85.0,225.0,208.284
