lat,lon,tsurfmx
-90.0,0.0,145.478
-90.0,2.5,145.478
-90.0,5.0,145.478
-90.0,7.5,145.478
-90.0,10.0,145.478
-90.0,12.5,145.478
-90.0,15.0,145.478
-90.0,17.5,145.478
-90.0,20.0,145.478
-90.0,22.5,145.478
-90.0,25.0,145.478
-90.0,27.5,145.478
-90.0,30.0,145.478
-90.0,32.5,145.478
-90.0,35.0,145.478
-90.0,37.5,145.478
-90.0,40.0,145.478
-90.0,42.5,145.478
-90.0,45.0,145.478
-90.0,47.5,145.478
-90.0,50.0,145.478
-90.0,52.5,145.478
-90.0,55.0,145.478
-90.0,57.5,145.478
-90.0,60.0,145.478
-90.0,62.5,145.478
-90.0,65.0,145.478
-90.0,67.5,145.478
-90.0,70.0,145.478
-90.0,72.5,145.478
-90.0,75.0,145.478
-90.0,77.5,145.478
-90.0,80.0,145.478
-90.0,82.5,145.478
-90.0,85.0,145.478
-90.0,87.5,145.478
-90.0,90.0,145.478
-90.0,92.5,145.478
-90.0,95.0,145.478
-90.0,97.5,145.478
-90.0,100.0,145.478
-90.0,102.5,145.478
-90.0,105.0,145.478
-90.0,107.5,145.478
-90.0,110.0,145.478
-90.0,112.5,145.478
-90.0,115.0,145.478
-90.0,117.5,145.478
-90.0,120.0,145.478
-90.0,122.5,145.478
-90.0,125.0,145.478
-90.0,127.5,145.478
-90.0,130.0,145.478
-90.0,132.5,145.478
-90.0,135.0,145.478
-90.0,137.5,145.478
-90.0,140.0,145.478
-90.0,142.5,145.478
-90.0,145.0,145.478
-90.0,147.5,145.478
-90.0,150.0,145.478
-90.0,152.5,145.478
-90.0,155.0,145.478
-90.0,157.5,145.478
-90.0,160.0,145.478
-90.0,162.5,145.478
-90.0,165.0,145.478
-90.0,167.5,145.478
-90.0,170.0,145.478
-90.0,172.5,145.478
-90.0,175.0,145.478
-90.0,177.5,145.478
-90.0,180.0,145.478
-90.0,182.5,145.478
-90.0,185.0,145.478
-90.0,187.5,145.478
-90.0,190.0,145.478
-90.0,192.5,145.478
-90.0,195.0,145.478
-90.0,197.5,145.478
-90.0,200.0,145.478
-90.0,202.5,145.478
-90.0,205.0,145.478
-90.0,207.5,145.478
-90.0,210.0,145.478
-90.0,212.5,145.478
-90.0,215.0,145.478
-90.0,217.5,145.478
-90.0,220.0,145.478
-90.0,222.5,145.478
-90.0,225.0,145.478
-90.0,227.5,145.478
-90.0,230.0,145.478
-90.0,232.5,145.478
-90.0,235.0,145.478
-90.0,237.5,145.478
-90.0,240.0,145.478
-90.0,242.5,145.478
-90.0,245.0,145.478
-90.0,247.5,145.478
-90.0,250.0,145.478
-90.0,252.5,145.478
-90.0,255.0,145.478
-90.0,257.5,145.478
-90.0,260.0,145.478
-90.0,262.5,145.478
-90.0,265.0,145.478
-90.0,267.5,145.478
-90.0,270.0,145.478
-90.0,272.5,145.478
-90.0,275.0,145.478
-90.0,277.5,145.478
-90.0,280.0,145.478
-90.0,282.5,145.478
-90.0,285.0,145.478
-90.0,287.5,145.478
-90.0,290.0,145.478
-90.0,292.5,145.478
-90.0,295.0,145.478
-90.0,297.5,145.478
-90.0,300.0,145.478
-90.0,302.5,145.478
-90.0,305.0,145.478
-90.0,307.5,145.478
-90.0,310.0,145.478
-90.0,312.5,145.478
-90.0,315.0,145.478
-90.0,317.5,145.478
-90.0,320.0,145.478
-90.0,322.5,145.478
-90.0,325.0,145.478
-90.0,327.5,145.478
-90.0,330.0,145.478
-90.0,332.5,145.478
-90.0,335.0,145.478
-90.0,337.5,145.478
-90.0,340.0,145.478
-90.0,342.5,145.478
-90.0,345.0,145.478
-90.0,347.5,145.478
-90.0,350.0,145.478
-90.0,352.5,145.478
-90.0,355.0,145.478
-90.0,357.5,145.478
-90.0,360.0,145.478
-85.0,0.0,156.406
-85.0,2.5,157.253
-85.0,5.0,158.1
-85.0,7.5,159.484
-85.0,10.0,161.047
-85.0,12.5,165.525
-85.0,15.0,172.919
-85.0,17.5,179.924
-85.0,20.0,185.762
-85.0,22.5,191.601
-85.0,25.0,198.308
-85.0,27.5,205.079
-85.0,30.0,207.657
-85.0,32.5,208.838
-85.0,35.0,211.654
-85.0,37.5,216.106
-85.0,40.0,219.984
-85.0,42.5,222.236
-85.0,45.0,224.523
-85.0,47.5,229.843
-85.0,50.0,235.164
-85.0,52.5,238.819
-85.0,55.0,241.918
-85.0,57.5,243.457
-85.0,60.0,243.436
-85.0,62.5,243.555
-85.0,65.0,243.946
-85.0,67.5,244.338
-85.0,70.0,245.009
-85.0,72.5,245.681
-85.0,75.0,246.048
-85.0,77.5,246.314
-85.0,80.0,246.436
-85.0,82.5,246.415
-85.0,85.0,246.376
-85.0,87.5,246.286
-85.0,90.0,246.341
-85.0,92.5,246.487
-85.0,95.0,246.633
-85.0,97.5,246.567
-85.0,100.0,246.431
-85.0,102.5,246.298
-85.0,105.0,246.171
-85.0,107.5,246.052
-85.0,110.0,245.959
-85.0,112.5,245.865
-85.0,115.0,245.776
-85.0,117.5,245.687
-85.0,120.0,245.866
-85.0,122.5,246.076
-85.0,125.0,246.234
-85.0,127.5,246.34
-85.0,130.0,246.462
-85.0,132.5,246.636
-85.0,135.0,246.809
-85.0,137.5,246.875
-85.0,140.0,246.94
-85.0,142.5,246.921
-85.0,145.0,246.874
-85.0,147.5,246.815
-85.0,150.0,246.928
-85.0,152.5,247.07
-85.0,155.0,247.119
-85.0,157.5,247.168
-85.0,160.0,247.219
-85.0,162.5,247.271
-85.0,165.0,247.346
-85.0,167.5,247.43
