lat,lon,tsurfmx
-90.0,0.0,145.76
-90.0,2.5,145.76
-90.0,5.0,145.76
-90.0,7.5,145.76
-90.0,10.0,145.76
-90.0,12.5,145.76
-90.0,15.0,145.76
-90.0,17.5,145.76
-90.0,20.0,145.76
-90.0,22.5,145.76
-90.0,25.0,145.76
-90.0,27.5,145.76
-90.0,30.0,145.76
-90.0,32.5,145.76
-90.0,35.0,145.76
-90.0,37.5,145.76
-90.0,40.0,145.76
-90.0,42.5,145.76
-90.0,45.0,145.76
-90.0,47.5,145.76
-90.0,50.0,145.76
-90.0,52.5,145.76
-90.0,55.0,145.76
-90.0,57.5,145.76
-90.0,60.0,145.76
-90.0,62.5,145.76
-90.0,65.0,145.76
-90.0,67.5,145.76
-90.0,70.0,145.76
-90.0,72.5,145.76
-90.0,75.0,145.76
-90.0,77.5,145.76
-90.0,80.0,145.76
-90.0,82.5,145.76
-90.0,85.0,145.76
-90.0,87.5,145.76
-90.0,90.0,145.76
-90.0,92.5,145.76
-90.0,95.0,145.76
-90.0,97.5,145.76
-90.0,100.0,145.76
-90.0,102.5,145.76
-90.0,105.0,145.76
-90.0,107.5,145.76
-90.0,110.0,145.76
-90.0,112.5,145.76
-90.0,115.0,145.76
-90.0,117.5,145.76
-90.0,120.0,145.76
-90.0,122.5,145.76
-90.0,125.0,145.76
-90.0,127.5,145.76
-90.0,130.0,145.76
-90.0,132.5,145.76
-90.0,135.0,145.76
-90.0,137.5,145.76
-90.0,140.0,145.76
-90.0,142.5,145.76
-90.0,145.0,145.76
-90.0,147.5,145.76
-90.0,150.0,145.76
-90.0,152.5,145.76
-90.0,155.0,145.76
-90.0,157.5,145.76
-90.0,160.0,145.76
-90.0,162.5,145.76
-90.0,165.0,145.76
-90.0,167.5,145.76
-90.0,170.0,145.76
-90.0,172.5,145.76
-90.0,175.0,145.76
-90.0,177.5,145.76
-90.0,180.0,145.76
-90.0,182.5,145.76
-90.0,185.0,145.76
-90.0,187.5,145.76
-90.0,190.0,145.76
-90.0,192.5,145.76
-90.0,195.0,145.76
-90.0,197.5,145.76
-90.0,200.0,145.76
-90.0,202.5,145.76
-90.0,205.0,145.76
-90.0,207.5,145.76
-90.0,210.0,145.76
-90.0,212.5,145.76
-90.0,215.0,145.76
-90.0,217.5,145.76
-90.0,220.0,145.76
-90.0,222.5,145.76
-90.0,225.0,145.76
-90.0,227.5,145.76
-90.0,230.0,145.76
-90.0,232.5,145.76
-90.0,235.0,145.76
-90.0,237.5,145.76
-90.0,240.0,145.76
-90.0,242.5,145.76
-90.0,245.0,145.76
-90.0,247.5,145.76
-90.0,250.0,145.76
-90.0,252.5,145.76
-90.0,255.0,145.76
-90.0,257.5,145.76
-90.0,260.0,145.76
-90.0,262.5,145.76
-90.0,265.0,145.76
-90.0,267.5,145.76
-90.0,270.0,145.76
-90.0,272.5,145.76
-90.0,275.0,145.76
-90.0,277.5,145.76
-90.0,280.0,145.76
-90.0,282.5,145.76
-90.0,285.0,145.76
-90.0,287.5,145.76
-90.0,290.0,145.76
-90.0,292.5,145.76
-90.0,295.0,145.76
-90.0,297.5,145.76
-90.0,300.0,145.76
-90.0,302.5,145.76
-90.0,305.0,145.76
-90.0,307.5,145.76
-90.0,310.0,145.76
-90.0,312.5,145.76
-90.0,315.0,145.76
-90.0,317.5,145.76
-90.0,320.0,145.76
-90.0,322.5,145.76
-90.0,325.0,145.76
-90.0,327.5,145.76
-90.0,330.0,145.76
-90.0,332.5,145.76
-90.0,335.0,145.76
-90.0,337.5,145.76
-90.0,340.0,145.76
-90.0,342.5,145.76
-90.0,345.0,145.76
-90.0,347.5,145.76
-90.0,350.0,145.76
-90.0,352.5,145.76
-90.0,355.0,145.76
-90.0,357.5,145.76
-90.0,360.0,145.76
-85.0,0.0,145.823
-85.0,2.5,146.215
-85.0,5.0,146.613
-85.0,7.5,146.542
-85.0,10.0,146.316
-85.0,12.5,146.622
-85.0,15.0,147.462
-85.0,17.5,148.967
-85.0,20.0,152.468
-85.0,22.5,155.969
-85.0,25.0,161.688
-85.0,27.5,167.445
-85.0,30.0,170.301
-85.0,32.5,172.189
-85.0,35.0,175.873
-85.0,37.5,181.352
-85.0,40.0,185.875
-85.0,42.5,187.546
-85.0,45.0,189.236
-85.0,47.5,194.504
-85.0,50.0,199.773
-85.0,52.5,204.663
-85.0,55.0,209.427
-85.0,57.5,212.257
-85.0,60.0,213.155
-85.0,62.5,213.87
-85.0,65.0,214.163
-85.0,67.5,214.47
-85.0,70.0,216.016
-85.0,72.5,217.562
-85.0,75.0,219.123
-85.0,77.5,220.689
-85.0,80.0,221.639
-85.0,82.5,221.972
-85.0,85.0,222.718
-85.0,87.5,224.704
-85.0,90.0,226.689
-85.0,92.5,229.205
-85.0,95.0,231.78
-85.0,97.5,231.67
-85.0,100.0,230.665
-85.0,102.5,228.63
-85.0,105.0,225.566
-85.0,107.5,222.623
-85.0,110.0,220.043
-85.0,112.5,217.463
-85.0,115.0,216.82
-85.0,117.5,216.177
-85.0,120.0,216.742
-85.0,122.5,217.916
-85.0,125.0,219.218
-85.0,127.5,220.612
-85.0,130.0,222.28
-85.0,132.5,224.766
-85.0,135.0,227.252
-85.0,137.5,228.045
-85.0,140.0,228.837
