lat,lon,tsurfmx
-90.0,0.0,142.625
-90.0,2.5,142.625
-90.0,5.0,142.625
-90.0,7.5,142.625
-90.0,10.0,142.625
-90.0,12.5,142.625
-90.0,15.0,142.625
-90.0,17.5,142.625
-90.0,20.0,142.625
-90.0,22.5,142.625
-90.0,25.0,142.625
-90.0,27.5,142.625
-90.0,30.0,142.625
-90.0,32.5,142.625
-90.0,35.0,142.625
-90.0,37.5,142.625
-90.0,40.0,142.625
-90.0,42.5,142.625
-90.0,45.0,142.625
-90.0,47.5,142.625
-90.0,50.0,142.625
-90.0,52.5,142.625
-90.0,55.0,142.625
-90.0,57.5,142.625
-90.0,60.0,142.625
-90.0,62.5,142.625
-90.0,65.0,142.625
-90.0,67.5,142.625
-90.0,70.0,142.625
-90.0,72.5,142.625
-90.0,75.0,142.625
-90.0,77.5,142.625
-90.0,80.0,142.625
-90.0,82.5,142.625
-90.0,85.0,142.625
-90.0,87.5,142.625
-90.0,90.0,142.625
-90.0,92.5,142.625
-90.0,95.0,142.625
-90.0,97.5,142.625
-90.0,100.0,142.625
-90.0,102.5,142.625
-90.0,105.0,142.625
-90.0,107.5,142.625
-90.0,110.0,142.625
-90.0,112.5,142.625
-90.0,115.0,142.625
-90.0,117.5,142.625
-90.0,120.0,142.625
-90.0,122.5,142.625
-90.0,125.0,142.625
-90.0,127.5,142.625
-90.0,130.0,142.625
-90.0,132.5,142.625
-90.0,135.0,142.625
-90.0,137.5,142.625
-90.0,140.0,142.625
-90.0,142.5,142.625
-90.0,145.0,142.625
-90.0,147.5,142.625
-90.0,150.0,142.625
-90.0,152.5,142.625
-90.0,155.0,142.625
-90.0,157.5,142.625
-90.0,160.0,142.625
-90.0,162.5,142.625
-90.0,165.0,142.625
-90.0,167.5,142.625
-90.0,170.0,142.625
-90.0,172.5,142.625
-90.0,175.0,142.625
-90.0,177.5,142.625
-90.0,180.0,142.625
-90.0,182.5,142.625
-90.0,185.0,142.625
-90.0,187.5,142.625
-90.0,190.0,142.625
-90.0,192.5,142.625
-90.0,195.0,142.625
-90.0,197.5,142.625
-90.0,200.0,142.625
-90.0,202.5,142.625
-90.0,205.0,142.625
-90.0,207.5,142.625
-90.0,210.0,142.625
-90.0,212.5,142.625
-90.0,215.0,142.625
-90.0,217.5,142.625
-90.0,220.0,142.625
-90.0,222.5,142.625
-90.0,225.0,142.625
-90.0,227.5,142.625
-90.0,230.0,142.625
-90.0,232.5,142.625
-90.0,235.0,142.625
-90.0,237.5,142.625
-90.0,240.0,142.625
-90.0,242.5,142.625
-90.0,245.0,142.625
-90.0,247.5,142.625
-90.0,250.0,142.625
-90.0,252.5,142.625
-90.0,255.0,142.625
-90.0,257.5,142.625
-90.0,260.0,142.625
-90.0,262.5,142.625
-90.0,265.0,142.625
-90.0,267.5,142.625
-90.0,270.0,142.625
-90.0,272.5,142.625
-90.0,275.0,142.625
-90.0,277.5,142.625
-90.0,280.0,142.625
-90.0,282.5,142.625
-90.0,285.0,142.625
-90.0,287.5,142.625
-90.0,290.0,142.625
-90.0,292.5,142.625
-90.0,295.0,142.625
-90.0,297.5,142.625
-90.0,300.0,142.625
-90.0,302.5,142.625
-90.0,305.0,142.625
-90.0,307.5,142.625
-90.0,310.0,142.625
-90.0,312.5,142.625
-90.0,315.0,142.625
-90.0,317.5,142.625
-90.0,320.0,142.625
-90.0,322.5,142.625
-90.0,325.0,142.625
-90.0,327.5,142.625
-90.0,330.0,142.625
-90.0,332.5,142.625
-90.0,335.0,142.625
-90.0,337.5,142.625
-90.0,340.0,142.625
-90.0,342.5,142.625
-90.0,345.0,142.625
-90.0,347.5,142.625
-90.0,350.0,142.625
-90.0,352.5,142.625
-90.0,355.0,142.625
-90.0,357.5,142.625
-90.0,360.0,142.625
-85.0,0.0,142.373
-85.0,2.5,142.372
-85.0,5.0,142.371
-85.0,7.5,142.416
-85.0,10.0,142.476
-85.0,12.5,142.533
-85.0,15.0,142.588
-85.0,17.5,142.649
-85.0,20.0,142.722
-85.0,22.5,142.794
-85.0,25.0,142.877
-85.0,27.5,142.96
-85.0,30.0,143.032
-85.0,32.5,143.1
-85.0,35.0,143.14
-85.0,37.5,143.151
-85.0,40.0,143.158
-85.0,42.5,143.153
-85.0,45.0,143.15
-85.0,47.5,143.178
-85.0,50.0,143.208
-85.0,52.5,143.221
-85.0,55.0,143.229
-85.0,57.5,143.249
-85.0,60.0,143.281
-85.0,62.5,143.305
-85.0,65.0,143.305
-85.0,67.5,143.305
-85.0,70.0,143.27
-85.0,72.5,143.234
-85.0,75.0,143.212
-85.0,77.5,143.195
-85.0,80.0,143.179
-85.0,82.5,143.169
-85.0,85.0,143.165
-85.0,87.5,143.203
-85.0,90.0,143.25
-85.0,92.5,143.394
-85.0,95.0,143.545
-85.0,97.5,143.591
-85.0,100.0,143.602
-85.0,102.5,143.572
-85.0,105.0,143.508
-85.0,107.5,143.475
-85.0,110.0,143.454
-85.0,112.5,143.434
-85.0,115.0,143.413
-85.0,117.5,143.393
-85.0,120.0,143.395
-85.0,122.5,143.404
-85.0,125.0,143.422
-85.0,127.5,143.448
-85.0,130.0,143.471
-85.0,132.5,143.487
-85.0,135.0,143.503
-85.0,137.5,143.503
-85.0,140.0,143.503
-85.0,142.5,143.479
-85.0,145.0,143.446
-85.0,147.5,143.422
-85.0,150.0,143.414
-85.0,152.5,143.412
-85.0,155.0,143.423
-85.0,157.5,143.433
-85.0,160.0,143.419
-85.0,162.5,143.405
-85.0,165.0,143.38
-85.0,167.5,143.35
-85.0,170.0,143.332
