lat,lon,tsurfmx
-90.0,0.0,141.97
-90.0,2.5,141.97
-90.0,5.0,141.97
-90.0,7.5,141.97
-90.0,10.0,141.97
-90.0,12.5,141.97
-90.0,15.0,141.97
-90.0,17.5,141.97
-90.0,20.0,141.97
-90.0,22.5,141.97
-90.0,25.0,141.97
-90.0,27.5,141.97
-90.0,30.0,141.97
-90.0,32.5,141.97
-90.0,35.0,141.97
-90.0,37.5,141.97
-90.0,40.0,141.97
-90.0,42.5,141.97
-90.0,45.0,141.97
-90.0,47.5,141.97
-90.0,50.0,141.97
-90.0,52.5,141.97
-90.0,55.0,141.97
-90.0,57.5,141.97
-90.0,60.0,141.97
-90.0,62.5,141.97
-90.0,65.0,141.97
-90.0,67.5,141.97
-90.0,70.0,141.97
-90.0,72.5,141.97
-90.0,75.0,141.97
-90.0,77.5,141.97
-90.0,80.0,141.97
-90.0,82.5,141.97
-90.0,85.0,141.97
-90.0,87.5,141.97
-90.0,90.0,141.97
-90.0,92.5,141.97
-90.0,95.0,141.97
-90.0,97.5,141.97
-90.0,100.0,141.97
-90.0,102.5,141.97
-90.0,105.0,141.97
-90.0,107.5,141.97
-90.0,110.0,141.97
-90.0,112.5,141.97
-90.0,115.0,141.97
-90.0,117.5,141.97
-90.0,120.0,141.97
-90.0,122.5,141.97
-90.0,125.0,141.97
-90.0,127.5,141.97
-90.0,130.0,141.97
-90.0,132.5,141.97
-90.0,135.0,141.97
-90.0,137.5,141.97
-90.0,140.0,141.97
-90.0,142.5,141.97
-90.0,145.0,141.97
-90.0,147.5,141.97
-90.0,150.0,141.97
-90.0,152.5,141.97
-90.0,155.0,141.97
-90.0,157.5,141.97
-90.0,160.0,141.97
-90.0,162.5,141.97
-90.0,165.0,141.97
-90.0,167.5,141.97
-90.0,170.0,141.97
-90.0,172.5,141.97
-90.0,175.0,141.97
-90.0,177.5,141.97
-90.0,180.0,141.97
-90.0,182.5,141.97
-90.0,185.0,141.97
-90.0,187.5,141.97
-90.0,190.0,141.97
-90.0,192.5,141.97
-90.0,195.0,141.97
-90.0,197.5,141.97
-90.0,200.0,141.97
-90.0,202.5,141.97
-90.0,205.0,141.97
-90.0,207.5,141.97
-90.0,210.0,141.97
-90.0,212.5,141.97
-90.0,215.0,141.97
-90.0,217.5,141.97
-90.0,220.0,141.97
-90.0,222.5,141.97
-90.0,225.0,141.97
-90.0,227.5,141.97
-90.0,230.0,141.97
-90.0,232.5,141.97
-90.0,235.0,141.97
-90.0,237.5,141.97
-90.0,240.0,141.97
-90.0,242.5,141.97
-90.0,245.0,141.97
-90.0,247.5,141.97
-90.0,250.0,141.97
-90.0,252.5,141.97
-90.0,255.0,141.97
-90.0,257.5,141.97
-90.0,260.0,141.97
-90.0,262.5,141.97
-90.0,265.0,141.97
-90.0,267.5,141.97
-90.0,270.0,141.97
-90.0,272.5,141.97
-90.0,275.0,141.97
-90.0,277.5,141.97
-90.0,280.0,141.97
-90.0,282.5,141.97
-90.0,285.0,141.97
-90.0,287.5,141.97
-90.0,290.0,141.97
-90.0,292.5,141.97
-90.0,295.0,141.97
-90.0,297.5,141.97
-90.0,300.0,141.97
-90.0,302.5,141.97
-90.0,305.0,141.97
-90.0,307.5,141.97
-90.0,310.0,141.97
-90.0,312.5,141.97
-90.0,315.0,141.97
-90.0,317.5,141.97
-90.0,320.0,141.97
-90.0,322.5,141.97
-90.0,325.0,141.97
-90.0,327.5,141.97
-90.0,330.0,141.97
-90.0,332.5,141.97
-90.0,335.0,141.97
-90.0,337.5,141.97
-90.0,340.0,141.97
-90.0,342.5,141.97
-90.0,345.0,141.97
-90.0,347.5,141.97
-90.0,350.0,141.97
-90.0,352.5,141.97
-90.0,355.0,141.97
-90.0,357.5,141.97
-90.0,360.0,141.97
-85.0,0.0,141.726
-85.0,2.5,141.713
-85.0,5.0,141.705
-85.0,7.5,141.743
-85.0,10.0,141.796
-85.0,12.5,141.841
-85.0,15.0,141.879
-85.0,17.5,141.922
-85.0,20.0,141.981
-85.0,22.5,142.04
-85.0,25.0,142.111
-85.0,27.5,142.181
-85.0,30.0,142.235
-85.0,32.5,142.293
-85.0,35.0,142.335
-85.0,37.5,142.352
-85.0,40.0,142.362
-85.0,42.5,142.358
-85.0,45.0,142.354
-85.0,47.5,142.366
-85.0,50.0,142.379
-85.0,52.5,142.392
-85.0,55.0,142.404
-85.0,57.5,142.424
-85.0,60.0,142.453
-85.0,62.5,142.475
-85.0,65.0,142.477
-85.0,67.5,142.479
-85.0,70.0,142.449
-85.0,72.5,142.422
-85.0,75.0,142.411
-85.0,77.5,142.405
-85.0,80.0,142.401
-85.0,82.5,142.398
-85.0,85.0,142.403
-85.0,87.5,142.432
-85.0,90.0,142.472
-85.0,92.5,142.622
-85.0,95.0,142.788
-85.0,97.5,142.826
-85.0,100.0,142.823
-85.0,102.5,142.798
-85.0,105.0,142.757
