lat,lon,tsurfmx
-90.0,0.0,145.028
-90.0,2.5,145.028
-90.0,5.0,145.028
-90.0,7.5,145.028
-90.0,10.0,145.028
-90.0,12.5,145.028
-90.0,15.0,145.028
-90.0,17.5,145.028
-90.0,20.0,145.028
-90.0,22.5,145.028
-90.0,25.0,145.028
-90.0,27.5,145.028
-90.0,30.0,145.028
-90.0,32.5,145.028
-90.0,35.0,145.028
-90.0,37.5,145.028
-90.0,40.0,145.028
-90.0,42.5,145.028
-90.0,45.0,145.028
-90.0,47.5,145.028
-90.0,50.0,145.028
-90.0,52.5,145.028
-90.0,55.0,145.028
-90.0,57.5,145.028
-90.0,60.0,145.028
-90.0,62.5,145.028
-90.0,65.0,145.028
-90.0,67.5,145.028
-90.0,70.0,145.028
-90.0,72.5,145.028
-90.0,75.0,145.028
-90.0,77.5,145.028
-90.0,80.0,145.028
-90.0,82.5,145.028
-90.0,85.0,145.028
-90.0,87.5,145.028
-90.0,90.0,145.028
-90.0,92.5,145.028
-90.0,95.0,145.028
-90.0,97.5,145.028
-90.0,100.0,145.028
-90.0,102.5,145.028
-90.0,105.0,145.028
-90.0,107.5,145.028
-90.0,110.0,145.028
-90.0,112.5,145.028
-90.0,115.0,145.028
-90.0,117.5,145.028
-90.0,120.0,145.028
-90.0,122.5,145.028
-90.0,125.0,145.028
-90.0,127.5,145.028
-90.0,130.0,145.028
-90.0,132.5,145.028
-90.0,135.0,145.028
-90.0,137.5,145.028
-90.0,140.0,145.028
-90.0,142.5,145.028
-90.0,145.0,145.028
-90.0,147.5,145.028
-90.0,150.0,145.028
-90.0,152.5,145.028
-90.0,155.0,145.028
-90.0,157.5,145.028
-90.0,160.0,145.028
-90.0,162.5,145.028
-90.0,165.0,145.028
-90.0,167.5,145.028
-90.0,170.0,145.028
-90.0,172.5,145.028
-90.0,175.0,145.028
-90.0,177.5,145.028
-90.0,180.0,145.028
-90.0,182.5,145.028
-90.0,185.0,145.028
-90.0,187.5,145.028
-90.0,190.0,145.028
-90.0,192.5,145.028
-90.0,195.0,145.028
-90.0,197.5,145.028
-90.0,200.0,145.028
-90.0,202.5,145.028
-90.0,205.0,145.028
-90.0,207.5,145.028
-90.0,210.0,145.028
-90.0,212.5,145.028
-90.0,215.0,145.028
-90.0,217.5,145.028
-90.0,220.0,145.028
-90.0,222.5,145.028
-90.0,225.0,145.028
-90.0,227.5,145.028
-90.0,230.0,145.028
-90.0,232.5,145.028
-90.0,235.0,145.028
-90.0,237.5,145.028
-90.0,240.0,145.028
-90.0,242.5,145.028
-90.0,245.0,145.028
-90.0,247.5,145.028
-90.0,250.0,145.028
-90.0,252.5,145.028
-90.0,255.0,145.028
-90.0,257.5,145.028
-90.0,260.0,145.028
-90.0,262.5,145.028
-90.0,265.0,145.028
-90.0,267.5,145.028
-90.0,270.0,145.028
-90.0,272.5,145.028
-90.0,275.0,145.028
-90.0,277.5,145.028
-90.0,280.0,145.028
-90.0,282.5,145.028
-90.0,285.0,145.028
-90.0,287.5,145.028
-90.0,290.0,145.028
-90.0,292.5,145.028
-90.0,295.0,145.028
-90.0,297.5,145.028
-90.0,300.0,145.028
-90.0,302.5,145.028
-90.0,305.0,145.028
-90.0,307.5,145.028
-90.0,310.0,145.028
-90.0,312.5,145.028
-90.0,315.0,145.028
-90.0,317.5,145.028
-90.0,320.0,145.028
-90.0,322.5,145.028
-90.0,325.0,145.028
-90.0,327.5,145.028
-90.0,330.0,145.028
-90.0,332.5,145.028
-90.0,335.0,145.028
-90.0,337.5,145.028
-90.0,340.0,145.028
-90.0,342.5,145.028
-90.0,345.0,145.028
-90.0,347.5,145.028
-90.0,350.0,145.028
-90.0,352.5,145.028
-90.0,355.0,145.028
-90.0,357.5,145.028
-90.0,360.0,145.028
-85.0,0.0,161.157
-85.0,2.5,164.179
-85.0,5.0,167.201
-85.0,7.5,170.073
-85.0,10.0,172.894
-85.0,12.5,177.807
-85.0,15.0,184.812
-85.0,17.5,190.728
-85.0,20.0,193.374
-85.0,22.5,196.02
-85.0,25.0,197.352
-85.0,27.5,198.727
-85.0,30.0,199.383
-85.0,32.5,199.798
-85.0,35.0,200.451
-85.0,37.5,201.342
-85.0,40.0,202.104
-85.0,42.5,202.474
-85.0,45.0,202.964
-85.0,47.5,204.148
-85.0,50.0,205.332
-85.0,52.5,206.415
-85.0,55.0,207.464
-85.0,57.5,207.985
-85.0,60.0,207.978
-85.0,62.5,207.992
-85.0,65.0,208.273
-85.0,67.5,208.671
-85.0,70.0,209.28
-85.0,72.5,209.889
-85.0,75.0,210.242
-85.0,77.5,210.51
-85.0,80.0,210.654
-85.0,82.5,210.673
-85.0,85.0,210.667
-85.0,87.5,210.581
-85.0,90.0,210.496
-85.0,92.5,210.713
-85.0,95.0,210.992
-85.0,97.5,211.032
-85.0,100.0,210.993
-85.0,102.5,210.885
-85.0,105.0,210.709
-85.0,107.5,210.555
-85.0,110.0,210.469
-85.0,112.5,210.384
-85.0,115.0,210.325
-85.0,117.5,210.266
-85.0,120.0,210.214
-85.0,122.5,210.411
-85.0,125.0,210.57
-85.0,127.5,210.684
-85.0,130.0,210.816
-85.0,132.5,211.003
-85.0,135.0,211.191
-85.0,137.5,211.258
-85.0,140.0,211.326
-85.0,142.5,211.332
-85.0,145.0,211.318
-85.0,147.5,211.26
-85.0,150.0,211.16
-85.0,152.5,211.229
-85.0,155.0,211.244
-85.0,157.5,211.258
-85.0,160.0,211.312
-85.0,162.5,211.365
-85.0,165.0,211.464
-85.0,167.5,211.577
-85.0,170.0,211.607
-85.0,172.5,211.552
-85.0,175.0,211.515
-85.0,177.5,211.53
-85.0,180.0,211.546
-85.0,182.5,211.499
-85.0,185.0,211.453
-85.0,187.5,211.175
-85.0,190.0,210.876
-85.0,192.5,210.785
-85.0,195.0,210.707
-85.0,197.5,210.653
-85.0,200.0,210.667
-85.0,202.5,210.681
-85.0,205.0,210.475
-85.0,207.5,210.269
-85.0,210.0,210.036
-85.0,212.5,209.99
-85.0,215.0,210.007
-85.0,217.5,210.024
-85.0,220.0,210.052
-85.0,222.5,210.113
-85.0,225.0,210.175
-85.0,227.5,210.083
-85.0,230.0,209.991
-85.0,232.5,209.744
-85.0,235.0,209.445
-85.0,237.5,208.785
-85.0,240.0,207.762
-85.0,242.5,206.824
-85.0,245.0,206.14
-85.0,247.5,205.607
-85.0,250.0,205.105
-85.0,252.5,204.604
-85.0,255.0,203.904
-85.0,257.5,203.139
-85.0,260.0,202.153
-85.0,262.5,200.947
-85.0,265.0,199.717
-85.0,267.5,198.413
-85.0,270.0,197.11
-85.0,272.5,193.114
-85.0,275.0,189.119
-85.0,277.5,186.617
-85.0,280.0,184.615
-85.0,282.5,182.88
-85.0,285.0,181.414
-85.0,287.5,180.11
-85.0,290.0,179.293
-85.0,292.5,178.475
-85.0,295.0,178.942
-85.0,297.5,179.412
-85.0,300.0,179.163
-85.0,302.5,178.676
-85.0,305.0,175.335
-85.0,307.5,169.14
-85.0,310.0,164.402
-85.0,312.5,164.035
-85.0,315.0,163.667
-85.0,317.5,163.706
-85.0,320.0,163.751
-85.0,322.5,163.88
-85.0,325.0,164.022
-85.0,327.5,165.814
-85.0,330.0,169.257
-85.0,332.5,170.806
-85.0,335.0,166.675
-85.0,337.5,162.543
-85.0,340.0,165.364
-85.0,342.5,168.184
-85.0,345.0,166.624
-85.0,347.5,163.602
-85.0,350.0,162.072
-85.0,352.5,162.032
-85.0,355.0,161.904
-85.0,357.5,161.522
-85.0,360.0,161.157
-80.0,0.0,202.759
-80.0,2.5,203.538
